Codi_Districte,Import_Euros,Nom_Districte,Nom_Barri,Seccio_Censal,Codi_Barri,Any
1,15940,Ciutat Vella,el Raval,1,1,2022
1,13841,Ciutat Vella,el Raval,2,1,2022
1,12732,Ciutat Vella,el Raval,3,1,2022
1,15749,Ciutat Vella,el Raval,4,1,2022
1,13190,Ciutat Vella,el Raval,5,1,2022
1,14262,Ciutat Vella,el Raval,6,1,2022
1,13335,Ciutat Vella,el Raval,7,1,2022
1,10692,Ciutat Vella,el Raval,8,1,2022
1,13723,Ciutat Vella,el Raval,9,1,2022
1,11833,Ciutat Vella,el Raval,10,1,2022
1,11708,Ciutat Vella,el Raval,11,1,2022
1,14737,Ciutat Vella,el Raval,12,1,2022
1,14851,Ciutat Vella,el Raval,13,1,2022
1,14082,Ciutat Vella,el Raval,14,1,2022
1,14744,Ciutat Vella,el Raval,15,1,2022
1,14277,Ciutat Vella,el Raval,16,1,2022
1,12292,Ciutat Vella,el Raval,17,1,2022
1,13914,Ciutat Vella,el Raval,18,1,2022
1,13991,Ciutat Vella,el Raval,19,1,2022
1,19278,Ciutat Vella,el Raval,20,1,2022
1,19473,Ciutat Vella,el Raval,21,1,2022
1,24330,Ciutat Vella,el Barri Gòtic,22,2,2022
1,20302,Ciutat Vella,el Barri Gòtic,23,2,2022
1,18972,Ciutat Vella,el Barri Gòtic,25,2,2022
1,20162,Ciutat Vella,el Barri Gòtic,26,2,2022
1,17614,Ciutat Vella,el Barri Gòtic,27,2,2022
1,19283,Ciutat Vella,el Barri Gòtic,28,2,2022
1,16012,Ciutat Vella,el Barri Gòtic,29,2,2022
1,15938,Ciutat Vella,el Barri Gòtic,30,2,2022
1,15400,Ciutat Vella,el Barri Gòtic,31,2,2022
1,19836,Ciutat Vella,la Barceloneta,32,3,2022
1,17188,Ciutat Vella,la Barceloneta,33,3,2022
1,17278,Ciutat Vella,la Barceloneta,34,3,2022
1,17458,Ciutat Vella,la Barceloneta,35,3,2022
1,17877,Ciutat Vella,la Barceloneta,36,3,2022
1,18627,Ciutat Vella,la Barceloneta,37,3,2022
1,16281,Ciutat Vella,la Barceloneta,38,3,2022
1,18053,Ciutat Vella,la Barceloneta,39,3,2022
1,19187,Ciutat Vella,la Barceloneta,40,3,2022
1,17187,Ciutat Vella,la Barceloneta,41,3,2022
1,18653,Ciutat Vella,la Barceloneta,42,3,2022
1,25186,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",43,4,2022
1,20772,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",44,4,2022
1,19646,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",45,4,2022
1,17547,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",46,4,2022
1,20023,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",47,4,2022
1,15023,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",48,4,2022
1,18668,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",49,4,2022
1,17298,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",50,4,2022
1,17760,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",51,4,2022
1,24015,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",52,4,2022
1,17569,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",53,4,2022
1,18968,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",54,4,2022
1,23042,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",55,4,2022
2,22790,Eixample,el Fort Pienc,1,5,2022
2,23841,Eixample,el Fort Pienc,2,5,2022
2,26735,Eixample,el Fort Pienc,3,5,2022
2,20846,Eixample,el Fort Pienc,4,5,2022
2,25223,Eixample,el Fort Pienc,5,5,2022
2,26174,Eixample,el Fort Pienc,6,5,2022
2,28926,Eixample,el Fort Pienc,7,5,2022
2,26072,Eixample,el Fort Pienc,8,5,2022
2,25066,Eixample,el Fort Pienc,9,5,2022
2,23183,Eixample,el Fort Pienc,10,5,2022
2,24698,Eixample,el Fort Pienc,11,5,2022
2,20656,Eixample,el Fort Pienc,12,5,2022
2,21814,Eixample,el Fort Pienc,13,5,2022
2,20498,Eixample,el Fort Pienc,14,5,2022
2,20373,Eixample,el Fort Pienc,15,5,2022
2,26542,Eixample,el Fort Pienc,16,5,2022
2,26887,Eixample,el Fort Pienc,17,5,2022
2,25637,Eixample,el Fort Pienc,18,5,2022
2,24358,Eixample,el Fort Pienc,19,5,2022
2,22945,Eixample,el Fort Pienc,20,5,2022
2,23411,Eixample,la Sagrada Família,21,6,2022
2,23805,Eixample,la Sagrada Família,22,6,2022
2,24495,Eixample,la Sagrada Família,23,6,2022
2,21808,Eixample,la Sagrada Família,24,6,2022
2,22251,Eixample,la Sagrada Família,25,6,2022
2,22712,Eixample,la Sagrada Família,26,6,2022
2,23205,Eixample,la Sagrada Família,27,6,2022
2,23093,Eixample,la Sagrada Família,28,6,2022
2,23537,Eixample,la Sagrada Família,29,6,2022
2,19958,Eixample,la Sagrada Família,30,6,2022
2,25192,Eixample,la Sagrada Família,31,6,2022
2,24660,Eixample,la Sagrada Família,32,6,2022
2,23934,Eixample,la Sagrada Família,33,6,2022
2,21815,Eixample,la Sagrada Família,34,6,2022
2,25035,Eixample,la Sagrada Família,35,6,2022
2,25842,Eixample,la Sagrada Família,36,6,2022
2,27029,Eixample,la Sagrada Família,37,6,2022
2,26402,Eixample,la Sagrada Família,38,6,2022
2,23132,Eixample,la Sagrada Família,39,6,2022
2,20914,Eixample,la Sagrada Família,40,6,2022
2,23317,Eixample,la Sagrada Família,41,6,2022
2,25918,Eixample,la Sagrada Família,42,6,2022
2,24593,Eixample,la Sagrada Família,43,6,2022
2,21162,Eixample,la Sagrada Família,44,6,2022
2,25351,Eixample,la Sagrada Família,45,6,2022
2,21589,Eixample,la Sagrada Família,46,6,2022
2,22895,Eixample,la Sagrada Família,47,6,2022
2,22490,Eixample,la Sagrada Família,48,6,2022
2,22119,Eixample,la Sagrada Família,49,6,2022
2,23490,Eixample,la Sagrada Família,50,6,2022
2,20797,Eixample,la Sagrada Família,51,6,2022
2,24261,Eixample,la Sagrada Família,52,6,2022
2,24829,Eixample,la Sagrada Família,53,6,2022
2,24388,Eixample,la Sagrada Família,54,6,2022
2,25670,Eixample,la Dreta de l'Eixample,55,7,2022
2,26223,Eixample,la Dreta de l'Eixample,56,7,2022
2,32110,Eixample,la Dreta de l'Eixample,57,7,2022
2,29126,Eixample,la Dreta de l'Eixample,58,7,2022
2,28590,Eixample,la Dreta de l'Eixample,59,7,2022
2,26853,Eixample,la Dreta de l'Eixample,60,7,2022
2,25141,Eixample,la Dreta de l'Eixample,61,7,2022
2,29073,Eixample,la Dreta de l'Eixample,62,7,2022
2,33504,Eixample,la Dreta de l'Eixample,63,7,2022
