Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,Data_Referencia,EDAT_Q
1,Ciutat Vella,1,el Raval,1,1001,53,2024-01-01T00:00:00,0
1,Ciutat Vella,1,el Raval,1,1001,52,2024-01-01T00:00:00,1
1,Ciutat Vella,1,el Raval,1,1001,55,2024-01-01T00:00:00,2
1,Ciutat Vella,1,el Raval,1,1001,43,2024-01-01T00:00:00,3
1,Ciutat Vella,1,el Raval,1,1001,67,2024-01-01T00:00:00,4
1,Ciutat Vella,1,el Raval,1,1001,135,2024-01-01T00:00:00,5
1,Ciutat Vella,1,el Raval,1,1001,124,2024-01-01T00:00:00,6
1,Ciutat Vella,1,el Raval,1,1001,147,2024-01-01T00:00:00,7
1,Ciutat Vella,1,el Raval,1,1001,123,2024-01-01T00:00:00,8
1,Ciutat Vella,1,el Raval,1,1001,87,2024-01-01T00:00:00,9
1,Ciutat Vella,1,el Raval,1,1001,81,2024-01-01T00:00:00,10
1,Ciutat Vella,1,el Raval,1,1001,76,2024-01-01T00:00:00,11
1,Ciutat Vella,1,el Raval,1,1001,69,2024-01-01T00:00:00,12
1,Ciutat Vella,1,el Raval,1,1001,42,2024-01-01T00:00:00,13
1,Ciutat Vella,1,el Raval,1,1001,52,2024-01-01T00:00:00,14
1,Ciutat Vella,1,el Raval,1,1001,34,2024-01-01T00:00:00,15
1,Ciutat Vella,1,el Raval,1,1001,36,2024-01-01T00:00:00,16
1,Ciutat Vella,1,el Raval,1,1001,21,2024-01-01T00:00:00,17
1,Ciutat Vella,1,el Raval,1,1001,11,2024-01-01T00:00:00,18
1,Ciutat Vella,1,el Raval,1,1001,..,2024-01-01T00:00:00,19
1,Ciutat Vella,1,el Raval,1,1002,50,2024-01-01T00:00:00,0
1,Ciutat Vella,1,el Raval,1,1002,38,2024-01-01T00:00:00,1
1,Ciutat Vella,1,el Raval,1,1002,38,2024-01-01T00:00:00,2
1,Ciutat Vella,1,el Raval,1,1002,33,2024-01-01T00:00:00,3
1,Ciutat Vella,1,el Raval,1,1002,115,2024-01-01T00:00:00,4
1,Ciutat Vella,1,el Raval,1,1002,190,2024-01-01T00:00:00,5
