Codi_Districte,SEXE,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,Data_Referencia
1,1,Ciutat Vella,1,el Raval,1,1001,628,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,1,1001,681,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,1,1002,625,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,1,1002,657,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,2,1003,1663,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,2,1003,1837,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,2,1004,1396,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,2,1004,1603,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,3,1005,1109,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,3,1005,1217,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,3,1006,741,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,3,1006,876,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,3,1007,832,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,3,1007,1171,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,4,1008,1363,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,4,1008,1840,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,4,1009,996,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,4,1009,1121,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,4,1010,1113,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,4,1010,1336,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,5,1011,1435,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,5,1011,1656,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,5,1012,939,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,5,1012,975,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,5,1013,729,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,5,1013,742,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,6,1014,839,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,6,1014,947,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,6,1015,1196,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,6,1015,1138,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,6,1016,1078,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,6,1016,1011,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,6,1017,1250,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,6,1017,1273,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,7,1018,768,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,7,1018,782,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,7,1019,1304,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,7,1019,1523,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,7,1020,1170,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,7,1020,1155,2024-01-01T00:00:00
1,1,Ciutat Vella,1,el Raval,8,1021,1114,2024-01-01T00:00:00
1,2,Ciutat Vella,1,el Raval,8,1021,1105,2024-01-01T00:00:00
1,1,Ciutat Vella,2,el Barri Gòtic,9,1022,751,2024-01-01T00:00:00
1,2,Ciutat Vella,2,el Barri Gòtic,9,1022,998,2024-01-01T00:00:00
